AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAACACACAAAAAAA
AAAACCCACAAAAAAA
AAACAAAAACAAAAAA
AAAACACACAAAAAAA
AACCAAAAACAAAAAA
ACAAACCCCAAAAAAA
ACAACCACAAAFAAAA
AACCCAAAAAAFFAAA
AAAAAAAAAAAAFAAA
AAAAAAAAAAAAAAAA
15,11,1,FF
15,9,1,FF
15,10,1,FF
14,9,1,FF
14,10,1,FF
13,9,1,FF
15,8,1,FF
15,7,1,FF
15,6,1,FF
15,5,1,FF
14,8,1,FF
14,6,1,FF
13,7,1,FF
13,8,1,FF
12,8,1,FF
12,9,1,FF
11,9,1,FF
12,10,1,FF
11,10,1,FF
10,10,1,FF
9,10,1,FF
10,8,1,FF
10,9,1,FF
14,7,1,FF
12,7,1,FF
11,8,1,FF
14,11,1,FF
13,11,1,FF
12,11,1,FF
11,11,1,FF
10,11,1,FF
9,11,1,FF
13,10,1,IG
2,7,1,IF
3,7,1,IF
3,8,1,IF
2,8,1,IF
4,7,1,IF
7,3,1,FF
4,4,2,S19
6,4,2,S19
6,6,2,S19
4,6,2,S19
5,5,2,S19
7,5,2,S19
8,4,2,S19
8,6,2,S19
12,4,2,S21
6,8,2,S21
*11,8,AC
*11,9,AC
*12,9,AC
*12,10,AC
*4,7,AD
*7,3,AC
