AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAA
0,11,1,FF
1,11,1,FF
2,11,1,FF
3,11,1,FF
8,11,1,FF
7,11,1,FF
6,11,1,FF
4,11,1,FF
5,11,1,FF
10,11,1,FF
11,11,1,FF
12,11,1,FF
13,11,1,FF
14,11,1,FF
15,11,1,FF
8,10,1,FF
8,9,1,FF
10,9,1,FF
9,9,1,FF
10,10,1,FF
6,10,1,FF
6,9,1,FF
6,8,1,FF
7,8,1,FF
8,8,1,FF
11,8,1,FF
12,8,1,FF
10,8,1,FF
12,9,1,FF
12,10,1,FF
5,8,1,FF
4,8,1,FF
4,9,1,FF
4,10,1,FF
4,7,1,FF
4,5,1,FF
6,5,1,FF
6,6,1,FF
6,7,1,FF
7,5,1,FF
8,6,1,FF
8,7,1,FF
9,8,1,FF
9,7,1,FF
10,7,1,FF
10,5,1,FF
8,5,1,FF
9,5,1,FF
11,5,1,FF
12,5,1,FF
12,6,1,FF
12,7,1,FF
11,7,1,FF
4,4,1,FF
4,3,1,FF
4,2,1,FF
5,2,1,FF
6,2,1,FF
7,2,1,FF
9,2,1,FF
8,2,1,FF
10,2,1,FF
11,2,1,FF
12,2,1,FF
12,3,1,FF
12,4,1,FF
3,2,1,FF
3,3,1,FF
3,4,1,FF
3,6,1,FF
3,5,1,FF
3,7,1,FF
3,10,1,FF
3,8,1,FF
13,2,1,FF
13,3,1,FF
13,5,1,FF
13,6,1,FF
13,4,1,FF
13,7,1,FF
13,8,1,FF
13,10,1,FF
5,5,1,FF
13,9,1,FF
2,10,1,FF
1,10,1,FF
0,10,1,FF
0,9,1,FF
0,8,1,FF
1,8,1,FF
3,9,1,FF
2,9,1,FF
2,7,1,FF
2,8,1,FF
1,9,1,FF
0,7,1,FF
0,6,1,FF
0,5,1,FF
10,6,2,S19
5,3,2,S21
5,4,2,S21
6,4,2,S21
6,3,2,S21
2,4,2,S11
14,4,2,S11
14,9,2,S11
5,6,2,S11
*8,10,AC
*6,9,AC
*11,8,AC
*12,10,AC
*6,6,AC
*11,5,AC
*4,9,AC
*4,8,AC
*4,3,AC
*4,4,AC
*3,4,AC
*3,3,AC
