BBBBBBBBBAAAAAAA
BBBBBBBBBAAAFAAA
BBBBBBBBAAAAFAAA
BBBBBBBBAAAAFAAA
BBBBBBBAAAFFFFFA
BBBBBBAAAAAFFFAA
BBBBBAAAAAAAFAAA
BBBBAAAAAAAAAAAA
BBBBAAAAAAAAAAAA
BBBAAAAAAAAAAAAA
BBBAAAAAAAAAAAAA
BBAAAAAAAAAAAAAA
2,11,1,FF
3,11,1,FF
4,11,1,FF
5,11,1,FF
6,11,1,FF
7,11,1,FF
8,11,1,FF
9,11,1,FF
10,11,1,FF
11,11,1,FF
12,11,1,FF
13,11,1,FF
14,11,1,FF
15,11,1,FF
15,10,1,FF
13,10,1,FF
12,10,1,FF
11,10,1,FF
10,10,1,FF
9,10,1,FF
8,10,1,FF
7,10,1,FF
6,10,1,FF
5,10,1,FF
4,10,1,FF
5,9,1,FF
7,9,1,FF
13,9,1,FF
11,9,1,FF
10,9,1,FF
9,9,1,FF
5,8,1,FF
7,8,1,FF
9,8,1,FF
10,8,1,FF
11,8,1,FF
12,9,1,FF
13,8,1,FF
12,8,1,FF
3,10,1,IE
4,1,2,S13
3,5,2,S13
2,3,2,S13
14,2,2,S29
8,6,2,S29
3,9,2,S29
